Pneu Marcação;Placa;Centro de custo;Data;Conferente;Modelo Pneu;Calibragem Ideal;Calibragem Encontrada;Calibragem Realizada;Dispersão;Sulco Mín.;1º Sulco;2º Sulco;3º Sulco;4º Sulco;Alinhamento;Laudo.;Observação;Eixo;Posição
159;PPP3275;PUXADA;18/02/2021 09:19:07;JOÃO TARCISIO DA SILVEIRA;KMAX EXTREME - 295;120;-;-;-;2;5,71;4,91;5,23;0;Divergente;Pneu OK;-;-;Estepe
1548;PPP3275;PUXADA;18/02/2021 09:19:07;JOÃO TARCISIO DA SILVEIRA;TR01 - 295;125;-;-;-;2;19,28;20,38;20,17;20,32;Divergente;Pneu OK;-;2;Direito interno
1558;PPP3275;PUXADA;18/02/2021 09:19:07;JOÃO TARCISIO DA SILVEIRA;KMAX S - 295;120;-;-;-;2;14,13;15,31;15,4;15,23;Divergente;Pneu OK;-;1;Esquerdo
1559;PPP3275;PUXADA;18/02/2021 09:19:07;JOÃO TARCISIO DA SILVEIRA;KMAX S - 295;120;-;-;-;2;14,1;14,08;14,15;13,14;Divergente;Pneu OK;-;1;Direito
1173;PPP3275;PUXADA;18/02/2021 09:19:07;JOÃO TARCISIO DA SILVEIRA;KMAX D - 295;120;-;-;-;2;6,59;4,74;5,09;4,77;Divergente;Pneu OK;-;3;Direito externo
1143;PPP3275;PUXADA;18/02/2021 09:19:07;JOÃO TARCISIO DA SILVEIRA;KMAX S - 295;120;-;-;-;2;7,98;8,1;8,54;0;Divergente;Pneu OK;-;3;Esquerdo interno
1550;PPP3275;PUXADA;18/02/2021 09:19:07;JOÃO TARCISIO DA SILVEIRA;TR01 - 295;125;-;-;-;2;20,12;19,88;19,23;19,97;Divergente;Pneu OK;-;2;Esquerdo interno
1172;PPP3275;PUXADA;18/02/2021 09:19:07;JOÃO TARCISIO DA SILVEIRA;KMAX D - 295;120;-;-;-;2;5,25;4,82;4,72;5,36;Divergente;Pneu OK;-;3;Direito interno
1549;PPP3275;PUXADA;18/02/2021 09:19:07;JOÃO TARCISIO DA SILVEIRA;TR01 - 295;125;-;-;-;2;19,51;18,98;18,48;19,42;Divergente;Pneu OK;-;2;Direito externo
1551;PPP3275;PUXADA;18/02/2021 09:19:07;JOÃO TARCISIO DA SILVEIRA;TR01 - 295;125;-;-;-;2;19,36;18,88;20,74;20,44;Divergente;Pneu OK;-;2;Esquerdo externo
